,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bambous Virieux,-20.34,57.76,75.2,60,40,6.93,MU,1600869990
1,Barrow,71.29,-156.79,30.2,68,90,6.93,US,1600869902
2,Vao,-22.67,167.48,69.8,81,35,12.44,NC,1600869991
3,Atuona,-9.8,-139.03,77.86,72,35,21.65,PF,1600869991
4,Mataura,-46.19,168.86,48.0,87,100,5.01,NZ,1600869991
5,Hammerfest,70.66,23.68,44.6,70,75,28.86,NO,1600869992
6,Esperance,-33.87,121.9,50.0,100,17,8.05,AU,1600869992
7,Rikitea,-23.12,-134.97,71.92,73,1,13.85,PF,1600869992
8,Aksu,41.12,80.26,70.07,25,0,3.09,CN,1600869993
9,Ushuaia,-54.8,-68.3,44.6,75,40,5.41,AR,1600869945
10,Kapaa,22.08,-159.32,80.6,69,40,14.99,US,1600869993
11,Castro,-24.79,-50.01,66.96,63,46,9.78,BR,1600869993
12,Igrim,63.19,64.42,41.43,96,100,2.89,RU,1600869994
13,Ribeira Grande,38.52,-28.7,69.8,60,40,17.22,PT,1600869994
14,Valday,57.97,33.25,64.49,67,0,4.38,RU,1600869994
15,Saint Paul Harbor,57.79,-152.41,50.0,87,90,16.11,US,1600869994
16,Fortuna,40.6,-124.16,54.0,93,1,10.29,US,1600869995
17,Esim,4.87,-2.24,79.0,78,59,11.39,GH,1600869995
18,Lompoc,34.64,-120.46,53.6,87,1,3.36,US,1600869995
19,Namtsy,62.72,129.67,33.8,80,0,6.71,RU,1600869996
20,Hobart,-42.88,147.33,44.6,75,75,5.82,AU,1600869861
21,Norman Wells,65.28,-126.83,26.6,92,20,4.16,CA,1600869996
22,Bluff,-46.6,168.33,48.0,87,93,5.01,NZ,1600869997
23,New Norfolk,-42.78,147.06,43.0,78,81,2.68,AU,1600869997
24,Puerto Ayora,-0.74,-90.35,68.0,89,100,5.99,EC,1600869998
25,Nome,64.5,-165.41,37.0,64,1,4.7,US,1600869998
26,Jamestown,42.1,-79.24,60.01,81,1,8.14,US,1600869992
27,Kedrovyy,56.17,91.82,48.2,81,40,11.18,RU,1600869998
28,Hermanus,-34.42,19.23,66.99,70,0,5.99,ZA,1600869999
29,Faanui,-16.48,-151.75,78.75,79,4,16.26,PF,1600869999
30,Araouane,18.9,-3.53,102.54,18,34,4.79,ML,1600869999
31,Manacapuru,-3.3,-60.62,86.0,70,75,8.05,BR,1600870000
32,Hilo,19.73,-155.09,73.4,83,90,6.93,US,1600869972
33,Saskylakh,71.92,114.08,46.53,67,0,14.58,RU,1600870000
34,Ferrol,43.48,-8.24,72.0,64,20,6.93,ES,1600870001
35,Namatanai,-3.67,152.43,80.11,68,33,5.61,PG,1600870001
